lostsales,first_var,var_discount,forecast_id,opt_cost,opt_MC_std,solve_time_s
true,0.03,0.7,6,9038.9670639305,521.1907036979211,0.5157697832990004
true,0.03,0.7,7,8419.521788750493,419.4745997805082,0.43262636169799934
true,0.03,0.7,8,10110.70728604079,628.5568429818862,0.5009244355629998
false,0.03,0.7,1,5990.664857391841,184.26285078464042,0.20399169728699998
false,0.03,0.7,2,8622.466359400309,288.4219672142144,0.45428684930799995
false,0.03,0.7,3,10847.597615877694,424.07848278876054,0.7647367370990001
false,0.03,0.7,4,8462.886337026956,293.414305701528,0.5020100638219998
false,0.03,0.7,5,8502.402008471496,291.1864549166903,0.5450403123790012
false,0.03,0.7,6,8484.489599457425,318.0906896476599,0.5201065335409999
false,0.03,0.7,7,8019.4900694249745,262.291977245938,0.4288585058910001
false,0.03,0.7,8,9198.068181853407,326.8847940675118,0.47474714258499984
true,0.1,0.8,1,6533.74236351741,607.6118429503249,0.26394282907299993
true,0.1,0.8,2,9936.139447266032,1271.9296545674526,0.5829121674430007
true,0.1,0.8,3,13258.219292098507,1993.4258130708492,1.0076560468070002
true,0.1,0.8,4,9808.228634393989,1348.1233199193862,0.5807708035870006
true,0.1,0.8,5,9780.89243823326,1296.94365548362,0.5796796262489996
true,0.1,0.8,6,9925.890751931349,1386.2757052386285,0.6157643660140002
true,0.1,0.8,7,9153.634737205693,1148.0625646145486,0.5573263131999987
true,0.1,0.8,8,10992.225366815761,1459.4360885283938,0.6287715176209993
false,0.1,0.8,1,6199.791331461723,447.43517294626935,0.25645955494399986
false,0.1,0.8,2,9036.311753922748,735.8108333919445,0.5826332358990006
false,0.1,0.8,3,11580.785822333633,1034.5815777738517,0.9842230093649997
false,0.1,0.8,4,8869.643565113349,696.5658675028066,0.5836570315359988
false,0.1,0.8,5,8932.486005443367,773.3896043323504,0.5958684081779999
false,0.1,0.8,6,8909.597682027927,714.148847184334,0.6179087142410001
false,0.1,0.8,7,8411.048612568435,709.8454741810892,0.5216231873909999
false,0.1,0.8,8,9663.35637627304,792.5123003992138,0.6010080950029997
true,0.05,0.8,1,6324.461714488231,376.9683372301229,0.21259280600900007
true,0.05,0.8,2,9285.05179873917,718.2732062923344,0.49914681226600055
true,0.05,0.8,3,12223.44581195484,1043.5298468514773,0.8215594300210006
true,0.05,0.8,4,9145.363378749953,704.5319512803928,0.5212332254879998
true,0.05,0.8,5,9223.781771779624,733.2623050197773,0.5406054517720004
true,0.05,0.8,6,9253.31377520358,729.7895306867715,0.5605125090609995
true,0.05,0.8,7,8570.900147711223,619.5181758293504,0.4602884843769996
true,0.05,0.8,8,10318.39759925159,812.714122712866,0.5385795831649997
false,0.05,0.8,1,6041.322277010885,276.7249752582605,0.2135854325099998
false,0.05,0.8,2,8727.28900531789,436.12617586361057,0.5083561858310006
false,0.05,0.8,3,10998.15300423011,586.6162869724478,0.8740306306240027
false,0.05,0.8,4,8573.202862038466,438.2669154680399,0.5220991618159997
false,0.05,0.8,5,8607.445474197342,420.5134778633344,0.5418070696729995
false,0.05,0.8,6,8590.989674540739,452.1230214273156,0.5672535424129997
false,0.05,0.8,7,8122.187259585398,388.94888312858365,0.4766846511770001
false,0.05,0.8,8,9303.820291162448,465.3795468052927,0.5300264028329997
true,0.03,0.8,1,6226.980576025775,280.9252150437794,0.19983865144999996
true,0.03,0.8,2,9059.802079483472,511.1033244092881,0.4603369109250002
true,0.03,0.8,3,11882.035775924222,772.480270334518,0.7717900076349994
true,0.03,0.8,4,8952.23676170269,538.435969917013,0.4819182923689999
true,0.03,0.8,5,9023.6909108166,520.5402209342762,0.49659437772499965
true,0.03,0.8,6,9048.234305555701,560.6402117152094,0.5339268633629993
true,0.03,0.8,7,8422.676375004552,458.1444029365074,0.43383529008299965
true,0.03,0.8,8,10099.58032812331,623.5191735891007,0.5271768100430002
false,0.03,0.8,1,5992.478054337207,206.21763106941287,0.20197974343599995
false,0.03,0.8,2,8619.632509713472,334.32960062852635,0.48872883614300033
false,0.03,0.8,3,10856.43652338908,446.7703746008833,0.7928511449900004
false,0.03,0.8,4,8490.706693383807,338.1946881695342,0.4930022075030001
false,0.03,0.8,5,8509.990047294625,322.14367033393137,0.5191422127589997
false,0.03,0.8,6,8482.438966587499,340.6546474574036,0.536471522912
false,0.03,0.8,7,8022.310391988255,297.7679152677088,0.46720140393100057
false,0.03,0.8,8,9194.756238922762,326.2662968263989,0.53151427671
true,0.1,0.9,1,6829.592873692865,959.4078103713364,0.3308755578249999
true,0.1,0.9,2,10213.206523115608,2713.246209637805,0.7540393467089994
true,0.1,0.9,3,13702.219510116642,2980.826535865978,1.3058209393699993
true,0.1,0.9,4,10107.087938489845,2324.210633507365,0.7411062030350013
true,0.1,0.9,5,10138.934338163504,2074.5777512734003,0.7839480549200005
