leadtime,shortage,setup,lostsales,CV,horizon,forecast_id,simple_cost,simple_MC_std,simple_solve_time_s,shortrate
2,10.0,30,true,0.2,32,6,3102.66688793057,66.97385002037552,0.0009735031,0.004195639036385779
2,10.0,30,true,0.2,32,7,2857.1470163757303,57.68124732124487,0.0009696809,0.0005634756943868673
2,10.0,30,true,0.2,32,8,3295.4755331861625,73.81287352714664,0.0009886734,0.009417823458540569
4,10.0,30,true,0.2,32,1,2170.472733889254,46.5063488795375,0.0009899244,0.000776775612616284
4,10.0,30,true,0.2,32,2,3209.307651909741,91.54854841869643,0.0009885234,0.0025887017799998157
4,10.0,30,true,0.2,32,3,4355.009822070989,129.09314608052844,0.0009909099,0.014083164219536691
4,10.0,30,true,0.2,32,4,3221.360669275686,90.63423626511941,0.0010074687,0.0046682867098553765
4,10.0,30,true,0.2,32,5,3270.1651139587543,97.85332421325323,0.0010273101,0.00685706416684933
4,10.0,30,true,0.2,32,6,3353.23805470657,100.35738869704956,0.0011041562,0.011314141542220778
4,10.0,30,true,0.2,32,7,3028.8858326667582,84.96967827924102,0.0010836266999999999,0.001062932342951174
4,10.0,30,true,0.2,32,8,3587.3873975509105,116.85882821364125,0.0010608943,0.018058153316505187
8,10.0,30,true,0.2,32,1,2597.1004376643996,78.80365414599339,0.0010999041,0.001197130014511263
8,10.0,30,true,0.2,32,2,3557.4071197849216,153.93800013298574,0.0011062886,0.0033846245454005565
8,10.0,30,true,0.2,32,3,5110.287782094996,225.55422342460065,0.001082055,0.027659396539635617
8,10.0,30,true,0.2,32,4,3656.320084971435,156.33039505333514,0.0011020272,0.01171962865367066
8,10.0,30,true,0.2,32,5,3824.9867845483677,166.9442364249395,0.0011066442999999998,0.020720611285606517
8,10.0,30,true,0.2,32,6,4088.198052896253,203.81524897822118,0.0010762767,0.030144613584477214
8,10.0,30,true,0.2,32,7,3505.8488406571223,142.09981668957167,0.0011106020999999998,0.0015430859189153095
8,10.0,30,true,0.2,32,8,4223.426174813249,190.0232360605122,0.0010981378,0.034097086440600596
