leadtime,shortage,setup,lostsales,CV,horizon,ADI,policy,mu_dist_bounds,avg_cost,MC_std,train_time_s,forecast_id,agent_id,stockoutrate
4,10.0,30,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",2294.639090171814,102.35142998345519,1147.447230676,1,77,0.06209263992426446
4,10.0,30,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",3024.3321874237063,147.42484921235675,1147.447230676,2,77,0.052440953027758724
4,10.0,30,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",3899.725391838074,202.80471066112534,1147.447230676,3,77,0.05852764479306875
4,10.0,30,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",3039.7744539928435,160.76162198134017,1147.447230676,4,77,0.05965554013852842
4,10.0,30,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",3059.7165295524596,164.51281188816722,1147.447230676,5,77,0.06675655206419225
4,10.0,30,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",3103.3688239746093,157.4110140115338,1147.447230676,6,77,0.061062721181994614
4,10.0,30,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",2868.9616437416075,148.40997513196186,1147.447230676,7,77,0.06150428366814364
4,10.0,30,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",3335.008929481506,170.8760909912788,1147.447230676,8,77,0.06035614238952371
8,5.0,20,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",2086.7756108970643,114.64518287845473,1087.370822744,1,69,0.08922024654584508
8,5.0,20,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",2654.5066305236815,109.91868633923302,1087.370822744,2,69,0.09588572896873984
8,5.0,20,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",3567.98788230896,130.48785431980042,1087.370822744,3,69,0.11162906953741114
8,5.0,20,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",2646.4352550621034,99.29647336521329,1087.370822744,4,69,0.1058850972926789
8,5.0,20,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",2709.185761100769,106.2208596090958,1087.370822744,5,69,0.12942178183193295
8,5.0,20,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",2703.5399446830747,109.31208755865062,1087.370822744,6,69,0.1278075454389273
8,5.0,20,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",2720.481076488495,130.86716438130807,1087.370822744,7,69,0.09238516558371092
8,5.0,20,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",2905.83661353302,124.66069940376197,1087.370822744,8,69,0.11589461342191147
8,10.0,30,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",2788.176658376694,150.692731934892,1174.846516215,1,78,0.05780824094961082
8,10.0,30,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",3232.5177409210205,181.828492642997,1174.846516215,2,78,0.0503307837669064
8,10.0,30,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",4174.832751029969,241.38605520097377,1174.846516215,3,78,0.061032742535409
8,10.0,30,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",3254.6945159454344,187.6859024833538,1174.846516215,4,78,0.05794493221808266
8,10.0,30,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",3293.1513233070373,181.1485230880154,1174.846516215,5,78,0.06983485580388969
