leadtime,shortage,setup,lostsales,CV,horizon,forecast_id,opt_cost,opt_MC_std,solve_time_s
2,25.0,1280,false,0.2,32,7,14072.323713919743,130.65622027626253,0.004522197839000001
1,75.0,320,true,0.2,32,3,11049.99525477752,384.9222875861352,0.006194439065
1,25.0,320,false,0.2,32,3,10492.93124165461,233.0020690343708,0.0061005187889999965
1,75.0,320,true,0.2,32,4,8580.337821147088,251.8492603543734,0.003934566311
1,25.0,320,false,0.2,32,4,8327.875962897717,156.1395043188366,0.003982107877999999
2,75.0,1280,true,0.2,32,8,20933.867576175187,490.7733808024424,0.010168381156000003
1,75.0,320,true,0.2,32,5,8597.645658802137,244.86657831540404,0.004038889333999998
2,25.0,1280,false,0.2,32,8,19898.184236016386,499.38667911762707,0.010244278234
1,25.0,320,false,0.2,32,5,8341.150509497154,193.75728101979698,0.004059274963
2,75.0,320,true,0.1,32,2,8458.975441959095,203.79575052190827,0.0021852601420000004
2,25.0,320,false,0.1,32,2,8277.026342836172,166.36926371844956,0.002204561783
1,75.0,320,true,0.2,32,6,8552.630909770565,283.21925921050337,0.004075678193
1,25.0,320,false,0.2,32,6,8250.136962255543,185.29498057673243,0.004213310309999999
1,75.0,320,true,0.2,32,7,6830.774929451091,164.3212472395812,0.0021353965299999995
1,25.0,320,false,0.2,32,7,6642.84065175262,98.01540480258646,0.0022230176520000003
2,75.0,320,true,0.1,32,3,11113.905096034396,252.00369725740435,0.0039551366900000004
2,25.0,320,false,0.1,32,3,10399.25993939488,135.76827161996766,0.003965676155000001
2,75.0,320,true,0.1,32,4,8368.442311700817,192.26958979449867,0.00255785585
2,25.0,320,false,0.1,32,4,8208.515607832993,155.08666303408825,0.002551895476
1,75.0,320,true,0.2,32,8,10591.221928008918,372.75732577971934,0.0053142559969999986
1,25.0,320,false,0.2,32,8,10038.512465954318,219.1106572213234,0.005278062124000001
2,75.0,320,true,0.1,32,5,8484.528613858552,171.53751869484253,0.0025894307669999997
2,25.0,320,false,0.1,32,5,8225.583030551223,100.95940753205767,0.0027102497010000003
2,75.0,320,true,0.1,32,6,8523.734413372838,181.7886915656836,0.002769590352
2,25.0,320,false,0.1,32,6,8181.009775880471,96.54345000944184,0.002907393419999999
0,75.0,320,true,0.2,32,2,8607.56173568532,194.1791473841193,0.003257411418000001
2,75.0,320,true,0.1,32,7,6729.051133006957,131.06774446809305,0.0017317998960000001
0,25.0,320,false,0.2,32,2,8404.161069989246,149.62772691000185,0.0032558536730000003
2,25.0,320,false,0.1,32,7,6568.004205166401,118.15216123663872,0.0013849004939999999
2,75.0,320,true,0.1,32,8,10597.441903918594,244.6954704448544,0.0033919192960000007
2,25.0,320,false,0.1,32,8,9921.266652408674,125.68800451000502,0.0034122578969999974
0,75.0,320,true,0.2,32,3,10530.039540338701,277.58368736697895,0.00583157053
0,25.0,320,false,0.2,32,3,10285.389189751144,212.75153618067012,0.005732946831000004
0,75.0,320,true,0.2,32,4,8457.350175717482,202.09893107177737,0.003769911644000001
0,25.0,320,false,0.2,32,4,8234.960008587352,162.82981770263854,0.003676694369999999
2,75.0,320,true,0.3,32,2,9111.817093742338,387.0096590704093,0.004104408803999998
2,25.0,320,false,0.3,32,2,8668.61940920458,234.7282174605563,0.004204331043
0,75.0,320,true,0.2,32,5,8477.736475904834,230.31068507502536,0.004093601812
0,25.0,320,false,0.2,32,5,8315.752797505427,166.156418418409,0.003952885174000001
0,75.0,320,true,0.2,32,6,8407.024558057434,209.65607360677356,0.0037528742630000018
2,75.0,320,true,0.3,32,3,11900.621867805377,649.9162535340173,0.007380557807000001
2,25.0,320,false,0.3,32,3,10919.644489358674,359.77838113411764,0.007564772855
0,25.0,320,false,0.2,32,6,8221.540996488704,150.98642555968235,0.004114268819000002
0,75.0,320,true,0.2,32,7,6813.570442355317,197.67389771328774,0.002035840372
0,25.0,320,false,0.2,32,7,6625.743954942157,140.25050090275997,0.0020503739550000004
2,75.0,320,true,0.3,32,4,9015.163874730099,392.8653517398687,0.004787603169999999
2,25.0,320,false,0.3,32,4,8542.644422839776,235.14983781416328,0.0048826712789999975
0,75.0,320,true,0.2,32,8,10116.531908333787,261.36302845327543,0.0050545159220000005
0,25.0,320,false,0.2,32,8,9888.70587017501,179.76518331386404,0.005019808808000002
2,75.0,320,true,0.3,32,5,9053.829161027756,407.1610620861271,0.004977029769000003
2,25.0,320,false,0.3,32,5,8573.35489475407,247.01385013269913,0.0049960483289999994
2,50.0,320,true,0.2,32,2,8704.578527408934,232.2046557176251,0.0029611102469999993
2,10.0,320,false,0.2,32,2,8173.559631043525,121.06139749118907,0.00303569573
2,75.0,320,true,0.3,32,6,9057.656310361068,458.374507567638,0.005071361979000001
2,25.0,320,false,0.3,32,6,8511.962848607458,261.66052931437355,0.0050746087210000014
2,50.0,320,true,0.2,32,3,11136.296574215461,340.78677992009267,0.005338412241
2,75.0,320,true,0.3,32,7,6985.436559580513,237.48153215951615,0.002588118673999999
2,10.0,320,false,0.2,32,3,10064.591255534526,161.81098342262004,0.005481682863000001
2,25.0,320,false,0.3,32,7,6709.937516742295,163.8514573214172,0.002656313011
2,50.0,320,true,0.2,32,4,8596.093072637028,238.19881382885805,0.0034131427990000004
2,10.0,320,false,0.2,32,4,8030.483546994243,151.9114132253439,0.00349198779
2,50.0,320,true,0.2,32,5,8612.86051346962,238.8880965443285,0.0035463193269999974
2,75.0,320,true,0.3,32,8,11388.07552987525,623.2815282189201,0.006391730288000002
2,25.0,320,false,0.3,32,8,10427.647128648112,325.82200868508295,0.006915747070000002
2,10.0,320,false,0.2,32,5,8043.891093769203,129.55919502701948,0.003600396785999999
2,50.0,320,true,0.2,32,6,8601.142980126733,261.9006213062691,0.003459831228000001
2,75.0,320,true,0.2,32,2,8818.961305855692,294.98494653519714,0.0031413882220000006
2,10.0,320,false,0.2,32,6,7896.696629169163,132.18513109722682,0.003634547500000001
2,50.0,320,true,0.2,32,7,6742.96852387001,166.39993149248622,0.001832708405
2,25.0,320,false,0.2,32,2,8490.249068162124,165.8134067743771,0.0029462936730000003
