leadtime,shortage,setup,lostsales,CV,horizon,forecast_id,opt_cost,opt_MC_std,solve_time_s,opt_shortrate
2,10.0,20,true,0.2,32,4,2402.421,110.04978288808078,0.0,0.02845810390738172
2,10.0,20,true,0.2,32,5,2397.783,107.82380945266627,0.0,0.02778930623509258
2,10.0,20,true,0.2,32,6,2409.129,112.65063037339614,0.0,0.029257800701433072
2,10.0,20,true,0.2,32,7,2282.547,101.35917063824304,0.0,0.02951333180533272
2,10.0,20,true,0.2,32,8,2622.984,121.82696562565101,0.0,0.03328053437246731
4,10.0,20,true,0.2,32,1,1916.275,91.11576953776147,0.0,0.040447005291861474
4,10.0,20,true,0.2,32,2,2667.502,123.54612758658865,0.0,0.02791989615670269
4,10.0,20,true,0.2,32,3,3354.995,167.96127519450715,0.0,0.03091925873641679
4,10.0,20,true,0.2,32,4,2614.427,128.59101181388738,0.0,0.027851452506496042
4,10.0,20,true,0.2,32,5,2637.715,128.83089371022066,0.0,0.030280059526958843
4,10.0,20,true,0.2,32,6,2670.665,131.71168035425612,0.0,0.03330610815610512
4,10.0,20,true,0.2,32,7,2511.261,113.25867917032852,0.0,0.02753850997127329
4,10.0,20,true,0.2,32,8,2939.453,143.84273538668376,0.0,0.03931028728567976
8,10.0,20,true,0.2,32,1,2424.402,120.62565624669134,0.0,0.030192411091481682
8,10.0,20,true,0.2,32,2,3103.639,169.4714644306122,0.0,0.024754532303241098
8,10.0,20,true,0.2,32,3,4117.684,230.03721277928764,0.0,0.040267471139989644
8,10.0,20,true,0.2,32,4,3129.029,181.9832796524809,0.0,0.030601616351638713
8,10.0,20,true,0.2,32,5,3239.732,200.32468683653582,0.0,0.038583469908870655
8,10.0,20,true,0.2,32,6,3397.964,211.9854016542519,0.0,0.04614532115669707
8,10.0,20,true,0.2,32,7,3069.365,163.02241589144444,0.0,0.022639484744520613
8,10.0,20,true,0.2,32,8,3629.156,201.1740357418339,0.0,0.05131606909481049
2,5.0,30,true,0.2,32,1,1826.065,49.221819984256605,0.0,0.07937990574813379
2,5.0,30,true,0.2,32,2,2589.821,80.1694711414707,0.0,0.07137617730555772
2,5.0,30,true,0.2,32,3,3181.58,92.01962405493303,0.0,0.048944593143461605
2,5.0,30,true,0.2,32,4,2543.063,73.96183735132858,0.0,0.06624889987543944
2,5.0,30,true,0.2,32,5,2546.753,74.95190310311526,0.0,0.06661075858673093
2,5.0,30,true,0.2,32,6,2545.424,73.2865276782789,0.0,0.06371847771397346
2,5.0,30,true,0.2,32,7,2411.685,70.07991845008075,0.0,0.07053363405855387
2,5.0,30,true,0.2,32,8,2739.595,82.16584570976678,0.0,0.07096416125285032
4,5.0,30,true,0.2,32,1,1976.66,60.99052585643318,0.0,0.07647839290425325
4,5.0,30,true,0.2,32,2,2768.248,89.64422224874608,0.0,0.054863827053684686
4,5.0,30,true,0.2,32,3,3475.993,111.54107028965322,0.0,0.05955447727144564
4,5.0,30,true,0.2,32,4,2732.536,90.9695342417458,0.0,0.0576328858976444
4,5.0,30,true,0.2,32,5,2729.774,90.93979860859035,0.0,0.05930583124047646
