leadtime,shortage,setup,lostsales,CV,horizon,forecast_id,simple_cost,simple_MC_std,simple_solve_time_s
2,75.0,320,true,0.2,16,7,8694.568289239505,90.6950869857031,0.0009379683
2,75.0,320,true,0.2,16,8,10406.6609815097,331.6142363330174,0.0009355824510000001
2,25.0,320,false,0.2,16,1,6291.362674284394,65.49170858145074,0.000970937021
2,25.0,320,false,0.2,16,2,9127.769476511883,138.12575320507634,0.000938121142
2,25.0,320,false,0.2,16,3,11490.013274227626,168.40126938292033,0.000939162865
2,25.0,320,false,0.2,16,4,8971.485869465292,147.66448913074623,0.000939619441
2,25.0,320,false,0.2,16,5,8995.357628553984,148.2812732136445,0.0009400172959999999
2,25.0,320,false,0.2,16,6,9056.997518688791,189.09165804625928,0.0009457513870000001
2,25.0,320,false,0.2,16,7,8552.207656095348,89.54880241218454,0.0009733934210000001
2,25.0,320,false,0.2,16,8,9714.092353798409,148.09947945327866,0.000944199007
2,50.0,320,false,0.2,32,1,6346.307914849042,72.0351783887612,0.000858786265
2,50.0,320,false,0.2,32,2,9256.32764077708,155.62862202386907,0.000876994342
2,50.0,320,false,0.2,32,3,11897.23872545177,249.12070639392545,0.00087772958
2,50.0,320,false,0.2,32,4,9172.437524984412,169.41029040340078,0.000863277231
2,50.0,320,false,0.2,32,5,9258.976646369452,173.0723331868291,0.0008556979770000001
2,50.0,320,false,0.2,32,6,9236.311834851933,257.2057416943483,0.000879923488
2,50.0,320,false,0.2,32,7,8662.911462406691,136.71200873897197,0.000884023069
2,50.0,320,false,0.2,32,8,10069.39312366871,263.07089554573855,0.000856489386
2,100.0,320,true,0.2,32,1,6389.962027000612,66.62991511283977,0.0008827823930000001
2,100.0,320,true,0.2,32,2,9400.047100575546,211.933098953726,0.000858256528
2,100.0,320,true,0.2,32,3,12566.065565193861,434.25030854131444,0.0008862000260000001
2,100.0,320,true,0.2,32,4,9357.247570437448,237.20274849568054,0.000855613606
2,100.0,320,true,0.2,32,5,9472.343664945636,266.59314425487713,0.0008803397830000001
2,100.0,320,true,0.2,32,6,9510.344722283711,357.4947999065252,0.000881768541
2,100.0,320,true,0.2,32,7,8754.59017556264,135.22827360300334,0.000858629483
2,100.0,320,true,0.2,32,8,10647.249703195534,439.92550999970234,0.000884188991
2,75.0,320,true,0.2,8,1,6368.475221631792,61.070227526960274,0.000930838111
2,75.0,320,true,0.2,8,2,9344.486814246904,187.2748395678407,0.000961029597
2,75.0,320,true,0.2,8,3,12236.346342561686,344.90827711998315,0.000926420787
2,75.0,320,true,0.2,8,4,9207.462179045264,206.81162586165001,0.00092988606
