lostsales,first_var,var_discount,avg_cost,MC_std,train_time_s,forecast_id,agent_id
true,0.03,0.95,-11957.797837874989,935.5162168361594,1560.904417812,3,23
true,0.03,0.95,-8994.070583266188,708.2287720167955,1560.904417812,4,23
true,0.03,0.95,-9000.193496017013,761.993025895037,1560.904417812,5,23
true,0.03,0.95,-9048.419492147144,699.4715995975786,1560.904417812,6,23
true,0.03,0.95,-8395.264205095351,517.8371512997792,1560.904417812,7,23
true,0.03,0.95,-10073.278919302256,746.9479735362859,1560.904417812,8,23
true,0.05,0.8,-6587.789041399594,321.9223587983531,1497.099665736,1,9
true,0.05,0.8,-9220.467438289283,598.1857961727162,1497.099665736,2,9
true,0.05,0.8,-12319.711269349697,947.9644360136518,1497.099665736,3,9
true,0.05,0.8,-9186.005601505638,585.9211963515473,1497.099665736,4,9
true,0.05,0.8,-9216.747409334208,679.8107015697286,1497.099665736,5,9
true,0.05,0.8,-9198.572818568566,628.8184743909835,1497.099665736,6,9
true,0.05,0.8,-8583.825687654606,508.8884939334314,1497.099665736,7,9
true,0.05,0.8,-10313.595811501691,743.8449858802863,1497.099665736,8,9
false,0.03,0.95,-6323.174084088382,323.12342043996483,1557.49468575,1,24
false,0.03,0.95,-8548.440948298921,493.54107112641657,1557.49468575,2,24
false,0.03,0.95,-10859.351408855402,662.1481910594528,1557.49468575,3,24
false,0.03,0.95,-8541.017925179094,452.53036261384847,1557.49468575,4,24
false,0.03,0.95,-8525.036418465512,536.8977147489014,1557.49468575,5,24
false,0.03,0.95,-8454.758151356002,488.40852114188283,1557.49468575,6,24
false,0.03,0.95,-8012.03506841986,439.8215233608115,1557.49468575,7,24
false,0.03,0.95,-9169.387589199629,511.3637763979925,1557.49468575,8,24
false,0.05,0.8,-6405.740562122506,289.6752965560981,1494.364655204,1,10
false,0.05,0.8,-8700.768413101103,440.5274896791967,1494.364655204,2,10
false,0.05,0.8,-11134.154875142456,590.6642370136968,1494.364655204,3,10
false,0.05,0.8,-8692.475839182478,436.74209967647846,1494.364655204,4,10
false,0.05,0.8,-8637.904132523223,463.0932860463144,1494.364655204,5,10
